resource_id,module,topic,difficulty,resource_type,title,description,url
R001,CCC,Classification,Intermediate,Tutorial,Intermediate Guide to Classification for Module CCC (Tutorial),Comprehensive tutorial covering the concepts of Classification tailored for CCC students.,https://scikit-learn.org/stable/supervised_learning.html
R002,EEE,Neural Networks,Advanced,Article,Advanced Guide to Neural Networks for Module EEE (Article),Comprehensive article covering the concepts of Neural Networks tailored for EEE students.,https://www.ibm.com/topics/neural-networks
R003,DDD,NLP Basics,Beginner,Article,Beginner Guide to NLP Basics for Module DDD (Article),Comprehensive article covering the concepts of NLP Basics tailored for DDD students.,https://huggingface.co/learn/nlp-course/chapter1/1
R004,BBB,Clustering,Advanced,Article,Advanced Guide to Clustering for Module BBB (Article),Comprehensive article covering the concepts of Clustering tailored for BBB students.,https://scikit-learn.org/stable/modules/clustering.html
R005,BBB,Neural Networks,Beginner,Research Paper,Beginner Guide to Neural Networks for Module BBB (Research Paper),Comprehensive research paper covering the concepts of Neural Networks tailored for BBB students.,https://www.ibm.com/topics/neural-networks
R006,EEE,Decision Trees,Advanced,Notebook,Advanced Guide to Decision Trees for Module EEE (Notebook),Comprehensive notebook covering the concepts of Decision Trees tailored for EEE students.,https://scikit-learn.org/stable/modules/tree.html
R007,AAA,Model Evaluation,Intermediate,Tutorial,Intermediate Guide to Model Evaluation for Module AAA (Tutorial),Comprehensive tutorial covering the concepts of Model Evaluation tailored for AAA students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R008,CCC,Data Preprocessing,Beginner,Practice Exercise,Beginner Guide to Data Preprocessing for Module CCC (Practice Exercise),Comprehensive practice exercise covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R009,EEE,NLP Basics,Intermediate,Notebook,Intermediate Guide to NLP Basics for Module EEE (Notebook),Comprehensive notebook covering the concepts of NLP Basics tailored for EEE students.,https://huggingface.co/learn/nlp-course/chapter1/1
R010,BBB,Feature Engineering,Beginner,Notebook,Beginner Guide to Feature Engineering for Module BBB (Notebook),Comprehensive notebook covering the concepts of Feature Engineering tailored for BBB students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R011,DDD,Feature Engineering,Intermediate,Video,Intermediate Guide to Feature Engineering for Module DDD (Video),Comprehensive video covering the concepts of Feature Engineering tailored for DDD students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R012,FFF,Feature Engineering,Advanced,Notebook,Advanced Guide to Feature Engineering for Module FFF (Notebook),Comprehensive notebook covering the concepts of Feature Engineering tailored for FFF students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R013,CCC,NLP Basics,Beginner,Notebook,Beginner Guide to NLP Basics for Module CCC (Notebook),Comprehensive notebook covering the concepts of NLP Basics tailored for CCC students.,https://huggingface.co/learn/nlp-course/chapter1/1
R014,DDD,Model Evaluation,Advanced,Article,Advanced Guide to Model Evaluation for Module DDD (Article),Comprehensive article covering the concepts of Model Evaluation tailored for DDD students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R015,CCC,NLP Basics,Advanced,Practice Exercise,Advanced Guide to NLP Basics for Module CCC (Practice Exercise),Comprehensive practice exercise covering the concepts of NLP Basics tailored for CCC students.,https://huggingface.co/learn/nlp-course/chapter1/1
R016,CCC,Data Preprocessing,Intermediate,Video,Intermediate Guide to Data Preprocessing for Module CCC (Video),Comprehensive video covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R017,GGG,Clustering,Advanced,Tutorial,Advanced Guide to Clustering for Module GGG (Tutorial),Comprehensive tutorial covering the concepts of Clustering tailored for GGG students.,https://scikit-learn.org/stable/modules/clustering.html
R018,FFF,Model Evaluation,Intermediate,Research Paper,Intermediate Guide to Model Evaluation for Module FFF (Research Paper),Comprehensive research paper covering the concepts of Model Evaluation tailored for FFF students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R019,FFF,Model Evaluation,Advanced,Tutorial,Advanced Guide to Model Evaluation for Module FFF (Tutorial),Comprehensive tutorial covering the concepts of Model Evaluation tailored for FFF students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R020,EEE,Model Evaluation,Beginner,Video,Beginner Guide to Model Evaluation for Module EEE (Video),Comprehensive video covering the concepts of Model Evaluation tailored for EEE students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R021,CCC,Data Preprocessing,Beginner,Article,Beginner Guide to Data Preprocessing for Module CCC (Article),Comprehensive article covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R022,DDD,Neural Networks,Intermediate,Practice Exercise,Intermediate Guide to Neural Networks for Module DDD (Practice Exercise),Comprehensive practice exercise covering the concepts of Neural Networks tailored for DDD students.,https://www.ibm.com/topics/neural-networks
R023,CCC,Model Evaluation,Beginner,Video,Beginner Guide to Model Evaluation for Module CCC (Video),Comprehensive video covering the concepts of Model Evaluation tailored for CCC students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R024,FFF,Feature Engineering,Advanced,Research Paper,Advanced Guide to Feature Engineering for Module FFF (Research Paper),Comprehensive research paper covering the concepts of Feature Engineering tailored for FFF students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R025,FFF,Model Evaluation,Advanced,Notebook,Advanced Guide to Model Evaluation for Module FFF (Notebook),Comprehensive notebook covering the concepts of Model Evaluation tailored for FFF students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R026,FFF,Neural Networks,Advanced,Article,Advanced Guide to Neural Networks for Module FFF (Article),Comprehensive article covering the concepts of Neural Networks tailored for FFF students.,https://www.ibm.com/topics/neural-networks
R027,CCC,Data Preprocessing,Beginner,Notebook,Beginner Guide to Data Preprocessing for Module CCC (Notebook),Comprehensive notebook covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R028,EEE,Classification,Advanced,Article,Advanced Guide to Classification for Module EEE (Article),Comprehensive article covering the concepts of Classification tailored for EEE students.,https://scikit-learn.org/stable/supervised_learning.html
R029,BBB,Classification,Advanced,Video,Advanced Guide to Classification for Module BBB (Video),Comprehensive video covering the concepts of Classification tailored for BBB students.,https://scikit-learn.org/stable/supervised_learning.html
R030,CCC,Model Evaluation,Intermediate,Notebook,Intermediate Guide to Model Evaluation for Module CCC (Notebook),Comprehensive notebook covering the concepts of Model Evaluation tailored for CCC students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R031,AAA,Feature Engineering,Beginner,Research Paper,Beginner Guide to Feature Engineering for Module AAA (Research Paper),Comprehensive research paper covering the concepts of Feature Engineering tailored for AAA students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R032,EEE,Model Evaluation,Advanced,Tutorial,Advanced Guide to Model Evaluation for Module EEE (Tutorial),Comprehensive tutorial covering the concepts of Model Evaluation tailored for EEE students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R033,AAA,Neural Networks,Advanced,Tutorial,Advanced Guide to Neural Networks for Module AAA (Tutorial),Comprehensive tutorial covering the concepts of Neural Networks tailored for AAA students.,https://www.ibm.com/topics/neural-networks
R034,BBB,Data Preprocessing,Intermediate,Video,Intermediate Guide to Data Preprocessing for Module BBB (Video),Comprehensive video covering the concepts of Data Preprocessing tailored for BBB students.,https://scikit-learn.org/stable/modules/preprocessing.html
R035,GGG,Neural Networks,Intermediate,Research Paper,Intermediate Guide to Neural Networks for Module GGG (Research Paper),Comprehensive research paper covering the concepts of Neural Networks tailored for GGG students.,https://www.ibm.com/topics/neural-networks
R036,FFF,Feature Engineering,Advanced,Article,Advanced Guide to Feature Engineering for Module FFF (Article),Comprehensive article covering the concepts of Feature Engineering tailored for FFF students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R037,GGG,Data Preprocessing,Intermediate,Notebook,Intermediate Guide to Data Preprocessing for Module GGG (Notebook),Comprehensive notebook covering the concepts of Data Preprocessing tailored for GGG students.,https://scikit-learn.org/stable/modules/preprocessing.html
R038,BBB,Neural Networks,Beginner,Tutorial,Beginner Guide to Neural Networks for Module BBB (Tutorial),Comprehensive tutorial covering the concepts of Neural Networks tailored for BBB students.,https://www.ibm.com/topics/neural-networks
R039,CCC,Model Evaluation,Beginner,Practice Exercise,Beginner Guide to Model Evaluation for Module CCC (Practice Exercise),Comprehensive practice exercise covering the concepts of Model Evaluation tailored for CCC students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R040,CCC,Clustering,Intermediate,Tutorial,Intermediate Guide to Clustering for Module CCC (Tutorial),Comprehensive tutorial covering the concepts of Clustering tailored for CCC students.,https://scikit-learn.org/stable/modules/clustering.html
R041,FFF,Clustering,Advanced,Article,Advanced Guide to Clustering for Module FFF (Article),Comprehensive article covering the concepts of Clustering tailored for FFF students.,https://scikit-learn.org/stable/modules/clustering.html
R042,AAA,NLP Basics,Intermediate,Tutorial,Intermediate Guide to NLP Basics for Module AAA (Tutorial),Comprehensive tutorial covering the concepts of NLP Basics tailored for AAA students.,https://huggingface.co/learn/nlp-course/chapter1/1
R043,CCC,Data Preprocessing,Beginner,Video,Beginner Guide to Data Preprocessing for Module CCC (Video),Comprehensive video covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R044,AAA,Feature Engineering,Advanced,Video,Advanced Guide to Feature Engineering for Module AAA (Video),Comprehensive video covering the concepts of Feature Engineering tailored for AAA students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R045,CCC,Clustering,Beginner,Article,Beginner Guide to Clustering for Module CCC (Article),Comprehensive article covering the concepts of Clustering tailored for CCC students.,https://scikit-learn.org/stable/modules/clustering.html
R046,DDD,Feature Engineering,Advanced,Tutorial,Advanced Guide to Feature Engineering for Module DDD (Tutorial),Comprehensive tutorial covering the concepts of Feature Engineering tailored for DDD students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R047,AAA,Clustering,Intermediate,Notebook,Intermediate Guide to Clustering for Module AAA (Notebook),Comprehensive notebook covering the concepts of Clustering tailored for AAA students.,https://scikit-learn.org/stable/modules/clustering.html
R048,DDD,Data Preprocessing,Advanced,Article,Advanced Guide to Data Preprocessing for Module DDD (Article),Comprehensive article covering the concepts of Data Preprocessing tailored for DDD students.,https://scikit-learn.org/stable/modules/preprocessing.html
R049,GGG,Neural Networks,Intermediate,Article,Intermediate Guide to Neural Networks for Module GGG (Article),Comprehensive article covering the concepts of Neural Networks tailored for GGG students.,https://www.ibm.com/topics/neural-networks
R050,GGG,Data Preprocessing,Beginner,Research Paper,Beginner Guide to Data Preprocessing for Module GGG (Research Paper),Comprehensive research paper covering the concepts of Data Preprocessing tailored for GGG students.,https://scikit-learn.org/stable/modules/preprocessing.html
R051,AAA,Feature Engineering,Intermediate,Research Paper,Intermediate Guide to Feature Engineering for Module AAA (Research Paper),Comprehensive research paper covering the concepts of Feature Engineering tailored for AAA students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R052,BBB,Data Preprocessing,Intermediate,Research Paper,Intermediate Guide to Data Preprocessing for Module BBB (Research Paper),Comprehensive research paper covering the concepts of Data Preprocessing tailored for BBB students.,https://scikit-learn.org/stable/modules/preprocessing.html
R053,GGG,Model Evaluation,Advanced,Tutorial,Advanced Guide to Model Evaluation for Module GGG (Tutorial),Comprehensive tutorial covering the concepts of Model Evaluation tailored for GGG students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R054,AAA,Decision Trees,Beginner,Notebook,Beginner Guide to Decision Trees for Module AAA (Notebook),Comprehensive notebook covering the concepts of Decision Trees tailored for AAA students.,https://scikit-learn.org/stable/modules/tree.html
R055,GGG,NLP Basics,Intermediate,Practice Exercise,Intermediate Guide to NLP Basics for Module GGG (Practice Exercise),Comprehensive practice exercise covering the concepts of NLP Basics tailored for GGG students.,https://huggingface.co/learn/nlp-course/chapter1/1
R056,DDD,Feature Engineering,Advanced,Practice Exercise,Advanced Guide to Feature Engineering for Module DDD (Practice Exercise),Comprehensive practice exercise covering the concepts of Feature Engineering tailored for DDD students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R057,AAA,Model Evaluation,Intermediate,Research Paper,Intermediate Guide to Model Evaluation for Module AAA (Research Paper),Comprehensive research paper covering the concepts of Model Evaluation tailored for AAA students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R058,BBB,NLP Basics,Advanced,Notebook,Advanced Guide to NLP Basics for Module BBB (Notebook),Comprehensive notebook covering the concepts of NLP Basics tailored for BBB students.,https://huggingface.co/learn/nlp-course/chapter1/1
R059,GGG,Classification,Intermediate,Video,Intermediate Guide to Classification for Module GGG (Video),Comprehensive video covering the concepts of Classification tailored for GGG students.,https://scikit-learn.org/stable/supervised_learning.html
R060,BBB,Decision Trees,Beginner,Article,Beginner Guide to Decision Trees for Module BBB (Article),Comprehensive article covering the concepts of Decision Trees tailored for BBB students.,https://scikit-learn.org/stable/modules/tree.html
R061,DDD,Data Preprocessing,Beginner,Video,Beginner Guide to Data Preprocessing for Module DDD (Video),Comprehensive video covering the concepts of Data Preprocessing tailored for DDD students.,https://scikit-learn.org/stable/modules/preprocessing.html
R062,CCC,Data Preprocessing,Beginner,Video,Beginner Guide to Data Preprocessing for Module CCC (Video),Comprehensive video covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R063,DDD,Data Preprocessing,Intermediate,Notebook,Intermediate Guide to Data Preprocessing for Module DDD (Notebook),Comprehensive notebook covering the concepts of Data Preprocessing tailored for DDD students.,https://scikit-learn.org/stable/modules/preprocessing.html
R064,BBB,Model Evaluation,Beginner,Tutorial,Beginner Guide to Model Evaluation for Module BBB (Tutorial),Comprehensive tutorial covering the concepts of Model Evaluation tailored for BBB students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R065,DDD,Clustering,Advanced,Video,Advanced Guide to Clustering for Module DDD (Video),Comprehensive video covering the concepts of Clustering tailored for DDD students.,https://scikit-learn.org/stable/modules/clustering.html
R066,CCC,Classification,Intermediate,Practice Exercise,Intermediate Guide to Classification for Module CCC (Practice Exercise),Comprehensive practice exercise covering the concepts of Classification tailored for CCC students.,https://scikit-learn.org/stable/supervised_learning.html
R067,EEE,Model Evaluation,Intermediate,Article,Intermediate Guide to Model Evaluation for Module EEE (Article),Comprehensive article covering the concepts of Model Evaluation tailored for EEE students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R068,CCC,Clustering,Advanced,Article,Advanced Guide to Clustering for Module CCC (Article),Comprehensive article covering the concepts of Clustering tailored for CCC students.,https://scikit-learn.org/stable/modules/clustering.html
R069,CCC,Model Evaluation,Intermediate,Notebook,Intermediate Guide to Model Evaluation for Module CCC (Notebook),Comprehensive notebook covering the concepts of Model Evaluation tailored for CCC students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R070,DDD,Data Preprocessing,Beginner,Tutorial,Beginner Guide to Data Preprocessing for Module DDD (Tutorial),Comprehensive tutorial covering the concepts of Data Preprocessing tailored for DDD students.,https://scikit-learn.org/stable/modules/preprocessing.html
R071,AAA,Classification,Intermediate,Tutorial,Intermediate Guide to Classification for Module AAA (Tutorial),Comprehensive tutorial covering the concepts of Classification tailored for AAA students.,https://scikit-learn.org/stable/supervised_learning.html
R072,DDD,Data Preprocessing,Advanced,Notebook,Advanced Guide to Data Preprocessing for Module DDD (Notebook),Comprehensive notebook covering the concepts of Data Preprocessing tailored for DDD students.,https://scikit-learn.org/stable/modules/preprocessing.html
R073,FFF,Clustering,Beginner,Video,Beginner Guide to Clustering for Module FFF (Video),Comprehensive video covering the concepts of Clustering tailored for FFF students.,https://scikit-learn.org/stable/modules/clustering.html
R074,CCC,Neural Networks,Intermediate,Tutorial,Intermediate Guide to Neural Networks for Module CCC (Tutorial),Comprehensive tutorial covering the concepts of Neural Networks tailored for CCC students.,https://www.ibm.com/topics/neural-networks
R075,BBB,Model Evaluation,Beginner,Practice Exercise,Beginner Guide to Model Evaluation for Module BBB (Practice Exercise),Comprehensive practice exercise covering the concepts of Model Evaluation tailored for BBB students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R076,EEE,Classification,Advanced,Notebook,Advanced Guide to Classification for Module EEE (Notebook),Comprehensive notebook covering the concepts of Classification tailored for EEE students.,https://scikit-learn.org/stable/supervised_learning.html
R077,BBB,Neural Networks,Advanced,Article,Advanced Guide to Neural Networks for Module BBB (Article),Comprehensive article covering the concepts of Neural Networks tailored for BBB students.,https://www.ibm.com/topics/neural-networks
R078,DDD,Neural Networks,Beginner,Notebook,Beginner Guide to Neural Networks for Module DDD (Notebook),Comprehensive notebook covering the concepts of Neural Networks tailored for DDD students.,https://www.ibm.com/topics/neural-networks
R079,CCC,Data Preprocessing,Intermediate,Practice Exercise,Intermediate Guide to Data Preprocessing for Module CCC (Practice Exercise),Comprehensive practice exercise covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R080,DDD,Data Preprocessing,Beginner,Practice Exercise,Beginner Guide to Data Preprocessing for Module DDD (Practice Exercise),Comprehensive practice exercise covering the concepts of Data Preprocessing tailored for DDD students.,https://scikit-learn.org/stable/modules/preprocessing.html
R081,DDD,Classification,Intermediate,Tutorial,Intermediate Guide to Classification for Module DDD (Tutorial),Comprehensive tutorial covering the concepts of Classification tailored for DDD students.,https://scikit-learn.org/stable/supervised_learning.html
R082,BBB,NLP Basics,Advanced,Article,Advanced Guide to NLP Basics for Module BBB (Article),Comprehensive article covering the concepts of NLP Basics tailored for BBB students.,https://huggingface.co/learn/nlp-course/chapter1/1
R083,EEE,Model Evaluation,Advanced,Video,Advanced Guide to Model Evaluation for Module EEE (Video),Comprehensive video covering the concepts of Model Evaluation tailored for EEE students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R084,EEE,Model Evaluation,Beginner,Article,Beginner Guide to Model Evaluation for Module EEE (Article),Comprehensive article covering the concepts of Model Evaluation tailored for EEE students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R085,EEE,Decision Trees,Intermediate,Research Paper,Intermediate Guide to Decision Trees for Module EEE (Research Paper),Comprehensive research paper covering the concepts of Decision Trees tailored for EEE students.,https://scikit-learn.org/stable/modules/tree.html
R086,EEE,Feature Engineering,Beginner,Research Paper,Beginner Guide to Feature Engineering for Module EEE (Research Paper),Comprehensive research paper covering the concepts of Feature Engineering tailored for EEE students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R087,EEE,Data Preprocessing,Beginner,Tutorial,Beginner Guide to Data Preprocessing for Module EEE (Tutorial),Comprehensive tutorial covering the concepts of Data Preprocessing tailored for EEE students.,https://scikit-learn.org/stable/modules/preprocessing.html
R088,CCC,Model Evaluation,Advanced,Practice Exercise,Advanced Guide to Model Evaluation for Module CCC (Practice Exercise),Comprehensive practice exercise covering the concepts of Model Evaluation tailored for CCC students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R089,DDD,Model Evaluation,Advanced,Practice Exercise,Advanced Guide to Model Evaluation for Module DDD (Practice Exercise),Comprehensive practice exercise covering the concepts of Model Evaluation tailored for DDD students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R090,FFF,Model Evaluation,Intermediate,Practice Exercise,Intermediate Guide to Model Evaluation for Module FFF (Practice Exercise),Comprehensive practice exercise covering the concepts of Model Evaluation tailored for FFF students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R091,CCC,Data Preprocessing,Intermediate,Notebook,Intermediate Guide to Data Preprocessing for Module CCC (Notebook),Comprehensive notebook covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R092,CCC,Feature Engineering,Advanced,Video,Advanced Guide to Feature Engineering for Module CCC (Video),Comprehensive video covering the concepts of Feature Engineering tailored for CCC students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R093,GGG,NLP Basics,Intermediate,Notebook,Intermediate Guide to NLP Basics for Module GGG (Notebook),Comprehensive notebook covering the concepts of NLP Basics tailored for GGG students.,https://huggingface.co/learn/nlp-course/chapter1/1
R094,EEE,Classification,Advanced,Notebook,Advanced Guide to Classification for Module EEE (Notebook),Comprehensive notebook covering the concepts of Classification tailored for EEE students.,https://scikit-learn.org/stable/supervised_learning.html
R095,CCC,Classification,Intermediate,Tutorial,Intermediate Guide to Classification for Module CCC (Tutorial),Comprehensive tutorial covering the concepts of Classification tailored for CCC students.,https://scikit-learn.org/stable/supervised_learning.html
R096,DDD,Decision Trees,Beginner,Video,Beginner Guide to Decision Trees for Module DDD (Video),Comprehensive video covering the concepts of Decision Trees tailored for DDD students.,https://scikit-learn.org/stable/modules/tree.html
R097,GGG,NLP Basics,Beginner,Notebook,Beginner Guide to NLP Basics for Module GGG (Notebook),Comprehensive notebook covering the concepts of NLP Basics tailored for GGG students.,https://huggingface.co/learn/nlp-course/chapter1/1
R098,EEE,Classification,Intermediate,Practice Exercise,Intermediate Guide to Classification for Module EEE (Practice Exercise),Comprehensive practice exercise covering the concepts of Classification tailored for EEE students.,https://scikit-learn.org/stable/supervised_learning.html
R099,BBB,Data Preprocessing,Intermediate,Article,Intermediate Guide to Data Preprocessing for Module BBB (Article),Comprehensive article covering the concepts of Data Preprocessing tailored for BBB students.,https://scikit-learn.org/stable/modules/preprocessing.html
R100,CCC,Neural Networks,Beginner,Article,Beginner Guide to Neural Networks for Module CCC (Article),Comprehensive article covering the concepts of Neural Networks tailored for CCC students.,https://www.ibm.com/topics/neural-networks
